,Property,Value
0,Number of S-S Bonds,0
1,Number of Salt-bridges,16
2,Number of H-bonds,10
3,Number of Water mediated contacts,0
4,Number of CH-O/N bonds,23
5,Number of Halogen bonds,0
6,Number of Metal mediated contacts,0
7,Number of π-π interactions,0
8,Number of lp-π interactions,1
9,Number of Anion-π interactions,0
10,Number of Cation-π interactions,0
11,Number of Amino-π interactions,0
12,Number of O/N/SH-π interactions,0
13,Number of CH-π interactions,3
14,Number of Polar vdW contacts,0
15,Number of Apolar vdW contacts,5
16,Number of Clashes,1
17,Number of Proximal contacts,30
